variable,role,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description
lab_hdl,Table 1,HDL cholesterol,High-density lipoprotein cholesterol (HDL) (mmol/L),Health status,Chronic disease,Continuous,mmol/L,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[lab_hdl],
lab_una,,Urinary sodium excretion,Sodium (mmol/L) - MEC urine,Health behaviour,Diet,Continuous,mmol/L,"cycle5, cycle6",[lab_una],Indicator of sodium consumption
lafcoc16,,Occupation classification,National Occupational Classification - Statistics (NOC-S) 2016,Sociodemographics,Occupation,Continuous,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::lbf_soc, cycle2:lbf_soc, cycle3::lafcso01, cycle4::lafcoc11, [lafcoc16]",
lmh_016,,Working hours,Number of hours worked per week,Sociodemographics,Occupation,Continuous,hours/week,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::lbfdhpw, cycle2:lbfdhpw, cycle3::lfh_16, cycle4::lfh_16, [lmh_016]",
low_drink_score,,Low risk drinking score ,Low risk drinking score ,Health behaviour,Alcohol,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[clc_sex, alcdwky]",
low_drink_score1,,Low risk drinking score - former/never categories,Low risk drinking score - former/never drinking categories,Health behaviour,Alcohol,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[clc_sex, alcdwky, alc_17, alc_11]",
married,Table 1,Married or common-law,Marital status (2 groups),Sociodemographics,Marital status,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[dhh_ms],
mdcd04y,,Milk consumption in year,"Drinks or uses milk or flavoured milk - times per year - (D)	",Health behaviour,Diet,Continuous,times/year,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::mdcd11y, cycle2::mdcd11y, [mdcd04y]",
meucatc,,Prescription medication - ATC,Anatomical Therapeutic Chemical (ATC) classification,Health status,Medication,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[meucatc],
mhr_101b,Drugs,First prescription medication - time last taken,First prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_101b],
mhr_102b,Drugs,Second prescription medication - time last taken,Second prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_102b],
mhr_103b,Drugs,Third prescription medication - time last taken,Third prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_103b],
mhr_104b,Drugs,Fourth prescription medication - time last taken,Fourth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_104b],
mhr_105b,Drugs,Fifth prescription medication - time last taken,Fifth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_105b],
mhr_106b,Drugs,Sixth prescription medication - time last taken,Sixth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_106b],
mhr_107b,Drugs,Seventh prescription medication - time last taken,Seventh prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_107b],
mhr_108b,Drugs,Eighth prescription medication - time last taken,Eighth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_108b],
mhr_109b,Drugs,Ninth prescription medication - time last taken,Ninth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_109b],
mhr_110b,Drugs,Tenth prescription medication - time last taken,Tenth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_110b],
mhr_111b,Drugs,Eleventh prescription medication - time last taken,Eleventh prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_111b],
mhr_112b,Drugs,Twelfth prescription medication - time last taken,Twelfth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_112b],
mhr_113b,Drugs,Thirteenth prescription medication - time last taken,Thirteenth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_113b],
mhr_114b,Drugs,Fourteenth prescription medication - time last taken,Fourteenth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_114b],
mhr_115b,Drugs,Fifteenth prescription medication - time last taken,Fifteenth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_115b],
mhr_131b,Drugs,First new prescription meds - time last taken,First new prescription meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_131b],
mhr_132b,Drugs,Second new prescription meds - time last taken,Second new prescription meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_132b],
mhr_133b,Drugs,Third new prescription meds - time last taken,Third new prescription meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_133b],
mhr_134b,Drugs,Fourth new prescription meds - time last taken,Fourth new prescription meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_134b],
mhr_135b,Drugs,Fifteenth new prescription meds - time last taken,Fifteenth new prescription meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_135b],
mhr_201b,Drugs,First over-the-counter meds - time last taken,First over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_201b],
mhr_202b,Drugs,Second over-the-counter meds - time last taken,Second over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_202b],
mhr_203b,Drugs,Third over-the-counter meds - time last taken,Third over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_203b],
mhr_204b,Drugs,Fourth over-the-counter meds - time last taken,Fourth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_204b],
mhr_205b,Drugs,Fifth over-the-counter meds - time last taken,Fifth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_205b],
mhr_206b,Drugs,Sixth over-the-counter meds - time last taken,Sixth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_206b],
mhr_207b,Drugs,Seventh over-the-counter meds - time last taken,Seventh over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_207b],
mhr_208b,Drugs,Eighth over-the-counter meds - time last taken,Eighth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_208b],
mhr_209b,Drugs,Ninth over-the-counter meds - time last taken,Ninth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_209b],
mhr_210b,Drugs,Tenth over-the-counter meds - time last taken,Tenth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_210b],
mhr_211b,Drugs,Eleventh over-the-counter meds - time last taken,Eleventh over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_211b],
mhr_212b,Drugs,Twelfth over-the-counter meds - time last taken,Twelfth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_212b],
mhr_213b,Drugs,Thirteenth over-the-counter meds - time last taken,Thirteenth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_213b],
mhr_214b,Drugs,Fourteenth over-the-counter meds - time last taken,Fourteenth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_214b],
mhr_215b,Drugs,Fifteenth over-the-counter meds - time last taken,Fifteenth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_215b],
mhr_231b,Drugs,First new over-the-counter meds - time last taken,First new over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_231b],
mhr_232b,Drugs,Second new over-the-counter meds - time last taken,Second new over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_232b],
mhr_233b,Drugs,Third new over-the-counter meds - time last taken,Third new over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_233b],
mhr_234b,Drugs,Fourth new over-the-counter meds - time last taken,Fourth new over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_234b],
mhr_235b,Drugs,Fifteenth new over-the-counter meds - time last taken,Fifteenth new over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[mhr_235b],
minperweek,Table 1,Minutes of exercise per week (Acceloremeter Days 1-7),Total moderate-to-vigorous physical activity - Days 1-7 (min/week),Health behaviour,Exercise,Continuous,minutes/week,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[mvpa_min],
miscmed,,Other antihypertension drugs,Taking other antihypertension drugs,Health status,Medication,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[atc_101a, atc_102a, atc_103a, atc_104a, atc_105a, atc_106a, atc_107a, atc_108a, atc_109a, atc_110a, atc_111a, atc_112a, atc_113a, atc_114a, atc_115a, atc_201a, atc_202a, atc_203a, atc_204a, atc_205a, atc_206a, atc_207a, atc_208a, atc_209a, atc_210a, atc_211a, atc_212a, atc_213a, atc_214a, atc_215a, atc_131a, atc_132a, atc_133a, atc_134a, atc_135a, atc_231a, atc_232a, atc_233a, atc_234a, atc_235a, mhr_101b, mhr_102b, mhr_103b, mhr_104b, mhr_105b, mhr_106b, mhr_107b, mhr_108b, mhr_109b, mhr_110b, mhr_111b, mhr_112b, mhr_113b, mhr_114b, mhr_115b, mhr_201b, mhr_202b, mhr_203b, mhr_204b, mhr_205b, mhr_206b, mhr_207b, mhr_208b, mhr_209b, mhr_210b, mhr_211b, mhr_212b, mhr_213b, mhr_214b, mhr_215b, mhr_131b, mhr_132b, mhr_133b, mhr_134b, mhr_135b, mhr_231b, mhr_232b, mhr_233b, mhr_234b, mhr_235b]; DerivedVar::[meucatc, npi_25b]",
mvpa150wk,Table 1,Exercises 150 min/week (Accelerometer Days 1-7) ,Exercises 150 min/week based on week-long accelerometer data,Health behaviour,Exercise,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[minperweek],
mvpa_min,Table 1,Average minutes of exercise per day (Acceloremeter Days 1-7),Averaged moderate-to-vigorous physical activity - Days 1-7 (min/day),Health behaviour,Exercise,Continuous,minutes/day,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[ammdmva1, ammdmva2, ammdmva3, ammdmva4, ammdmva5, ammdmva6, ammdmva7]",
nohsgrad,Table 1,Education status,Education status wrt high school graduation (yes/no),Sociodemographics,Education,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[edudr04],
nonhdl,Table 1,non-HDL cholesterol,non-HDL cholesterol,Health status,Chronic disease,Continuous,mmol/L,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[lab_chol, lab_hdl]",
nonhdltodd,Table 1,High non-HDL cholesterol status,At or above 4.3 mmol/L of NonHDL,Health status,Chronic disease,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[nonhdl],
npi_25b,,Medication - time last taken (clinic),Medication - time last taken (clinic interview),Health status,Medication,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[npi_25b],
nsaid_drug,,NSAID,Taking NSAID,Health status,Medication,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[atc_101a, atc_102a, atc_103a, atc_104a, atc_105a, atc_106a, atc_107a, atc_108a, atc_109a, atc_110a, atc_111a, atc_112a, atc_113a, atc_114a, atc_115a, atc_201a, atc_202a, atc_203a, atc_204a, atc_205a, atc_206a, atc_207a, atc_208a, atc_209a, atc_210a, atc_211a, atc_212a, atc_213a, atc_214a, atc_215a, atc_131a, atc_132a, atc_133a, atc_134a, atc_135a, atc_231a, atc_232a, atc_233a, atc_234a, atc_235a, mhr_101b, mhr_102b, mhr_103b, mhr_104b, mhr_105b, mhr_106b, mhr_107b, mhr_108b, mhr_109b, mhr_110b, mhr_111b, mhr_112b, mhr_113b, mhr_114b, mhr_115b, mhr_201b, mhr_202b, mhr_203b, mhr_204b, mhr_205b, mhr_206b, mhr_207b, mhr_208b, mhr_209b, mhr_210b, mhr_211b, mhr_212b, mhr_213b, mhr_214b, mhr_215b, mhr_131b, mhr_132b, mhr_133b, mhr_134b, mhr_135b, mhr_231b, mhr_232b, mhr_233b, mhr_234b, mhr_235b]; DerivedVar::[meucatc, npi_25b]",
paadtot,,Minutes of exercise per week (self-reported) ,Total minutes of physical activity from all domains per week - (D),Health behaviour,Exercise,Continuous,minutes/week,"cycle3, cycle4, cycle5, cycle6","cycle3::ipadttpa, [paadtot]",
pack_years_der,,Pack-years,Smoking pack-years,Health behaviour,Smoking,Continuous,years,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[smkdsty, clc_age, smkdstp, smk_52, smk_31, smk_41, smk_53, smk_23, smk_21, smk_11]",
pgdcgt,Table 1,Ethnicity,Cultural or racial group - (D),Sociodemographics,Ethnicity,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::sdcdcgt, cycle2::sdcdcgt, [pgdcgt]",
poordiet,Table 1,Poor diet quality ,Diet quality - eats fruits/veg < 5 times per day,Health behaviour,Diet,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[totalfv],
prs_11,Table 1,Pregnancy status,Pregnant,Health status,Pregnacy,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::phc_11, cycle2::phc_11, cycle3::phc_11, cycle4::phc_11, [prs_11]",
sbp_adj,,Systolic blood pressure (adjusted),Adjusted systolic blood pressure measurement,Health status,Blood pressure,Continuous,mmHg,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[bpmdpbps],
slp_11,,Hours of sleep per day,Hours spent sleeping in 24 hour period,Health behaviour,Sleep,Continuous,hours/day,"cycle1, cycle2, cycle3, cycle4",[slp_11],
smk_11,,Smoked 100 cigarettes in lifetime,Smoked 100 or more cigarettes - lifetime,Health behaviour,Smoking,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[smk_11],
smk_21,,Age smoked first cigarette,Age - smoked first whole cigarette,Health behaviour,Smoking,Continuous,years,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[smk_21],
smk_23,,Number days/month smoked at least 1 cigarette,Number days/typical month smoked at least 1 cigarette,Health behaviour,Smoking,Continuous,days/month,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[smk_23],
smk_31,,Number of cigarettes per day (daily smoker),Number of cigarettes smoked per day (daily smoker),Health behaviour,Smoking,Continuous,cigarettes/day,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[smk_31],
smk_41,,Number of cigarettes per day (occassional smoker),Number of cigarettes smoked per day (occassional smoker),Health behaviour,Smoking,Continuous,cigarettes/day,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[smk_41],
smk_52,,Age started smoking daily,Age started smoking daily,Health behaviour,Smoking,Continuous,years,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[smk_52],
smk_53,,Number of cigarettes per day (former daily smoker),Number of cigarettes smoked per day (former daily smoker),Health behaviour,Smoking,Continuous,cigarettes/day,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[smk_53],
smkdstp,,Years stopped smoking,Number of years since stopping smoking completely - (D),Health behaviour,Smoking,Continuous,years,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[smkdstp],
smkdsty,Table 1,Smoking frequency,Type of smoker - (D),Health behaviour,Smoking,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[smkdsty],
thi_01,Table 1,Household income,Household income - amount,Sociodemographics,Income,Continuous,$,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::inc_21, cycle2::inc_21, cycle5::inc_hhld, THI_01, [thi_01]",
thifimp4,,Household income imputation flag,Total household income imputation flag - (F),Sociodemographics,Income,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::incfimp4, cycle2::incfimp4, cycle5::incfhhld, [thifimp4]",
totalfv,Table 1,Daily fruit and vegetable consumption,Daily fruit and vegetable consumption,Health behaviour,Diet,Continuous,times/day,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[wsdd14y, gfvd17y, gfvd18y, gfvd19y, gfvd20y, gfvd22y, gfvd23y]; DerivedVar::[wsdd34y, wsdd35y, gfvd17ay, gfvd17by, gfvd17cy, gfvd17dy, gfvd18y, gfvd19y, gfvd20y, gfvd22y, gfvd23y]		",
wsdd14y,,Fruit juice consumption in year,Drinks fruit juices - times per year - (D),Health behaviour,Diet,Continuous,times/year,"cycle1, cycle2",[wsdd14y],
wsdd34y,Table 1,Orange or grapefruit juice consumption in year,"	Drinks orange or grapefruit juice - times per year - (D)",Health behaviour,Diet,Continuous,times/year,"cycle3, cycle4, cycle5, cycle6",[wsdd34y],
wsdd35y,Table 1,Other fruit juice consumption in year,Drinks other 100% fruit juices - times per year - (D),Health behaviour,Diet,Continuous,times/year,"cycle3, cycle4, cycle5, cycle6",[wsdd35y],
